Ubicacion,Altitud,Bortle,Nubosidad,Humedad,Temperatura,Velocidad_Viento,Presion,Fase_Lunar,Planetas_Visibles,Score_Visibilidad,Calidad_Observacion
Guajira,59.81035475057935,1,29,30,31.384933728302183,11.519549670927473,1007.109849943765,0.21649221049866996,2,63.82555067382425,1
Bogotá,2615.5684891481883,8,37,70,8.660460443369967,9.428496009709248,984.826107507313,0.11690314228004839,5,36.785830378758206,0
Guajira,95.7080544107494,1,1,60,28.155587891492743,9.498948024141157,1002.8675962854784,0.49898726377479996,2,60.85914937566052,1
Bogotá,2620.111329304956,8,63,36,26.04253215293824,6.754237257472887,1013.0965274749962,0.7943663984222346,3,27.18277056448925,0
Medellín,1533.4896878243671,7,59,95,13.488665825608756,7.966642445062914,1024.643364406611,0.6528180236539404,2,40.46203703389972,0
Tatacoa,403.66242631100624,2,20,65,30.95168224130066,11.18576499307181,1008.3116075286644,0.23214888014324964,2,50.363457191349276,0
Bogotá,2619.7089503096613,8,32,51,11.556270277518692,12.389113786678774,996.6631879898594,0.4367065856894923,0,42.89092235856281,0
Villa de Leyva,2145.550557902553,3,75,98,24.3091982512138,10.448421032160692,990.1768219910954,0.8552303633440688,1,27.343336986227012,0
Cali,980.3877238331143,7,57,99,13.397365203581899,13.861094832685247,1019.2773605368994,0.1776559078528389,4,28.049616984000842,0
Cali,1024.5020008913282,7,21,73,18.35313557057779,12.304861322208014,1016.6554345451076,0.532080570682897,2,45.224449464492004,0
Cali,1018.9165023809113,7,88,39,25.259837526669656,8.427956847142777,990.5265269350723,0.35623150876084153,3,20.21720296148174,0
Medellín,1510.823423833513,7,48,52,21.519791408793118,10.071091089656052,989.0284440565958,0.12417975482951937,2,27.207094297998886,0
Cali,1044.3745717925422,7,90,93,18.26004395187468,13.89462415381794,1012.181154956503,0.049903920910898236,2,13.801423408396978,0
Villa de Leyva,2152.468473305596,3,58,59,15.832122342367693,9.287520663645875,994.1728427863442,0.5558713846457952,2,38.4695793562512,0
Bogotá,2595.710350356676,8,41,51,28.151831737010966,12.37210421969746,993.7879459262881,0.020748873740378926,2,38.10377306635971,0
Medellín,1522.9708999741915,7,91,21,11.451544407555529,10.332157553849806,986.8530611180445,0.10344611669293491,1,26.228647536001418,0
Medellín,1495.43991900339,7,59,52,18.3224690367152,8.279045415906998,991.8788983869423,0.3475642811617412,2,29.20904564676973,0
Medellín,1438.1781216680988,7,79,96,29.690181722603413,3.6275729312302967,999.2378400916692,0.04352018535576274,2,14.01265800315225,0
Villa de Leyva,2158.288444118939,4,14,49,28.300389211039224,6.389962792026422,1012.9777251772587,0.40044522645188485,5,60.67297725476478,1
Tatacoa,411.5537192172486,3,61,52,17.62260229935312,14.516142372505735,995.1338642486187,0.130365024176891,2,36.79740295351057,0
Guajira,39.24561077209022,1,61,96,26.3146007264314,9.866480749089,994.7871952765929,0.34987309070015393,3,33.019679773600316,0
Medellín,1489.0648942948865,7,46,45,27.755859937012623,8.465930705084844,992.8210963648596,0.7911596870900682,1,33.85840120490766,0
Villa de Leyva,2131.142046658099,3,61,41,29.333298176087112,13.99434938292341,1001.5227650379969,0.626364344476658,0,42.69367860008104,0
Cali,1030.4838003854688,7,50,85,21.068138457181472,8.797676715561732,988.1286514073591,0.44540107778750915,4,28.776563761207832,0
Guajira,54.19974154978634,1,54,57,12.907061265313082,7.891237776261044,1001.8533830314457,0.09183330785516042,3,55.59435556596301,0
Villa de Leyva,2121.753138991267,4,63,65,14.12741783609436,11.389662827253078,1011.6879000287611,0.6191496593147331,2,33.815766132857924,0
Cali,1066.5391173636474,6,2,34,15.096672176998501,10.689984284798166,981.340572681468,0.16370965250905034,2,52.87693796545425,0
Guajira,30.025907920221247,1,100,63,22.251259539430773,2.897400126126491,980.4400721137592,0.07658634386161489,1,22.860758994291466,0
Guajira,-31.195553734445895,1,50,68,8.787430979086603,7.069624118611817,983.380530956953,0.6639960174596078,3,46.87021143366563,0
Guajira,35.87977291222589,1,6,94,23.265019250719238,7.087731642293779,1004.104702777765,0.9120598978210075,0,53.643013700100624,0
Bogotá,2670.9281270410897,8,20,80,16.74450172227757,5.673367728650172,1018.4504787433432,0.46059343677052234,3,40.913326829349586,0
Bogotá,2633.804038903502,8,72,86,15.085803259751412,7.759402232283797,980.2198009709114,0.04099591060811403,2,24.708717835285235,0
Tatacoa,350.95660665747164,2,38,25,29.10791769747503,6.196610965907164,1022.1497587063106,0.880297717418541,1,58.090876724175025,0
Tatacoa,369.1572566845042,2,17,28,19.040057493939173,2.990182342067747,984.7825330206741,0.06697376612357409,4,59.30050256204619,1
Bogotá,2607.570407526778,8,3,25,10.281273092784627,6.1854973091202154,1017.8892587626202,0.8675132427015871,5,54.33380520296444,0
Bogotá,2622.7414126474214,8,88,92,27.84192243262993,1.084154213597649,1001.7284644242326,0.39181937322293103,1,12.370641386167415,0
Villa de Leyva,2141.148850706195,3,59,51,9.143390178476158,8.636787941616173,1009.671082427548,0.3653945386230897,3,46.42725677305005,0
Bogotá,2654.8156382680186,8,13,60,25.44198138003672,12.804818234116679,1002.9807343001232,0.5427973794564518,3,41.17172602868366,0
Villa de Leyva,2152.853161148837,3,8,95,26.573749322495964,10.879306265318329,1001.4671701330709,0.9570848174442188,3,54.430614476524845,0
Cali,1023.2921134621637,7,89,27,16.462462542292595,5.405910600811668,1017.5704742763976,0.8987405450859782,5,22.620190807686168,0
Villa de Leyva,2202.3805937728293,3,52,91,27.794908550666882,1.3060680836596228,1014.0148870805517,0.4703300883047672,2,31.793530873401433,0
Medellín,1520.8248802094477,7,1,69,20.37582574055488,3.032240988379061,1001.7531006435352,0.6958232310238185,3,57.69989858444097,0
Bogotá,2663.184139909119,8,83,81,19.119047678547123,8.182355107422536,985.0236168228228,0.5804292523434124,3,20.418785974523864,0
Tatacoa,345.6051416170649,2,91,81,9.08967875524862,3.105856250745493,985.1931331691484,0.6934615790631674,2,30.916392866840102,0
Guajira,27.445832075280705,1,59,26,14.960700647573741,8.159596669274512,1016.0692757323584,0.829327460062097,2,51.86617095393823,0
Bogotá,2592.0892801267537,9,70,94,30.344239301247196,3.473985371458484,1003.822577960639,0.03449382886859387,2,17.463286730957705,0
Bogotá,2616.9284157646316,8,43,99,17.403775118804,12.733858042141092,1001.6715113098713,0.3257598539278975,3,32.230792541315815,0
Villa de Leyva,2172.8460013806434,3,7,23,21.12081249336244,5.959072092606895,1010.6255078612322,0.9593291082338672,3,65.49445827430361,1
Bogotá,2628.215143382471,8,46,25,20.768520295622043,3.683259389167366,1018.6478712536417,0.9493363085249241,2,33.4666563577245,0
Tatacoa,432.1732478547977,2,34,77,22.17034615574464,12.184892703705923,1008.2992914985987,0.011220889977462511,2,41.15519710735171,0
Bogotá,2660.794056061885,8,77,41,9.471942935438783,5.142584472081761,1014.3281556055915,0.20144012992236626,0,25.979819335722677,0
Bogotá,2641.513583201161,8,80,45,16.69223011516948,1.6723153175817291,1014.437173585263,0.9937700423443627,0,21.622214458891722,0
Cali,1050.8813922826093,7,35,22,25.355078573181302,8.556142371054625,996.0317651956832,0.4928250758994859,2,43.328989015039156,0
Medellín,1535.9324802930946,7,49,60,12.81344602575159,8.723463066569831,992.3337438038448,0.5728660039668526,2,33.29083413880168,0
Tatacoa,413.6316181127733,3,3,79,12.88588106111265,10.720435128536012,1016.0523830228822,0.16642018552245252,3,66.48556607143438,1
Tatacoa,406.8990134086639,2,1,33,8.242174560536593,3.6032914981257838,996.9730456302909,0.8943356087585296,2,55.24608052510859,0
Bogotá,2659.001064278249,8,5,94,18.499566238597033,6.6565700863836765,1020.6501202935217,0.23126429964911288,4,48.538918872887216,0
Villa de Leyva,2106.802399378828,3,53,31,29.18562513616213,4.235518785639844,983.1360813528554,0.18964763001953655,1,49.38040172678274,0
Tatacoa,396.47285608971805,2,3,31,9.245622646095416,1.214306041735322,982.6197880433903,0.22812240332032818,5,71.77859449708436,1
Cali,1017.2802847085082,7,53,32,12.586849027904062,13.149207405238375,1021.7151872045633,0.9196217026410087,1,28.667890991918874,0
Tatacoa,388.9376706743031,2,92,44,15.442028920226122,10.933047067325118,1009.1804711381645,0.7028467071768492,3,27.009412052444276,0
Cali,994.3151261580593,7,62,64,25.56139367754111,4.521945891882011,997.081971040175,0.7685963944902751,2,25.762829849501678,0
Tatacoa,429.94135664907935,2,17,38,23.375254227262076,8.990594893079795,1013.9777186667283,0.37703635818425274,2,61.23768846265361,1
Guajira,55.101745746317484,1,89,74,17.98265370996452,3.0189568220170866,1010.2547064497138,0.9091770149305614,1,20.907565454371934,0
Medellín,1502.8297219657723,6,43,64,26.217654542201018,13.353549326936564,1003.9040471068819,0.7894079523393898,1,39.00921897432471,0
Medellín,1537.7374021379987,7,33,27,22.631144279765646,1.7235951504286544,984.4493004198193,0.7505973625073212,3,40.512852010652935,0
Tatacoa,394.1401493422938,2,73,72,29.50497919177326,0.05755718261701348,1016.5480814281739,0.9709402836729517,2,29.887069627203875,0
Cali,1006.336622703676,8,61,74,27.632641979328632,7.530122966087732,1018.9710435806281,0.36619683079334864,5,32.01141551501677,0
Cali,1058.838793733177,7,99,51,14.067526546140813,8.746917351793039,987.7475909848692,0.6109736467958812,2,19.09725463051405,0
Medellín,1450.2778186085338,6,13,70,14.514525863220804,8.684479804437066,1018.273024338968,0.9099296989772162,5,49.037666789884995,0
Bogotá,2641.5357335993967,8,94,63,11.008555419017256,0.8176789115673944,1019.5031289957454,0.7908889431859525,1,6.2828820594401975,0
Medellín,1472.8707269962777,7,47,89,16.087153417218957,4.710657103776487,1004.7242875529832,0.563378958225615,1,31.75779032857388,0
Tatacoa,408.78037356465506,2,14,37,31.989054049258264,7.487984202619977,1009.528056630021,0.07621368478019885,2,63.56990624579062,1
Medellín,1512.1589480416433,8,71,41,17.738028046761464,3.248687784408613,997.2006794006521,0.6527234395556732,4,15.377895339983146,0
Cali,1036.8277219685215,7,77,56,13.291722432538553,13.089388282288446,992.680624137917,0.5265555568678522,2,24.81002078688965,0
Bogotá,2670.7871724569545,8,86,75,26.29958922741327,1.3066393419215105,1012.489241612824,0.1841804614846264,1,10.183660604827198,0
Tatacoa,392.424180195674,2,61,78,21.019304083103748,7.310766625080643,1018.7843817057113,0.8822531233425974,1,27.90955223995549,0
Bogotá,2634.2933615358816,7,39,22,11.59043478864686,10.371240862697281,1009.4334898830086,0.34324859489874326,2,38.553317783648396,0
Medellín,1510.798066430553,7,84,47,17.13655234786078,3.9262665020172367,1003.0215774790947,0.38747989351729695,2,11.164985148278694,0
Tatacoa,426.62505079918367,2,79,93,17.94727317294424,9.363611054962773,987.1516145079877,0.6724015487964106,2,24.24567305413069,0
Villa de Leyva,2109.9908854858495,3,81,54,26.091912813661246,12.440777252135618,982.4056420672168,0.48879874204124096,3,25.243732260168006,0
Tatacoa,409.42363524039035,3,52,80,8.496112853405707,2.855054626425713,1000.0561305611036,0.08928107627914939,3,43.70547355884624,0
Cali,1006.1426702371547,6,23,73,14.45647152315945,13.758308877372942,982.2207303663839,0.38744161735523475,4,42.70891142471426,0
Tatacoa,402.6145771115308,2,25,82,20.42231123157253,8.30337798993537,1005.6200584358252,0.09446611793823312,2,46.79336942372249,0
Medellín,1484.2993404013682,7,88,98,14.45232181886824,4.488480064515908,997.2228136092997,0.1907504031233812,2,5.043649139094739,0
Bogotá,2618.3176018112313,8,59,26,23.082417138055973,6.462874130734061,1014.0735103856887,0.007174438350453838,5,32.22236942990403,0
Cali,987.4443021153033,6,40,95,19.564819502590797,4.682878256795819,993.7541823576282,0.1813130814846622,2,41.2744232419755,0
Guajira,45.46927955089144,1,28,68,16.681046116629936,10.876667398999741,1006.6842215435345,0.3304473539983609,2,60.55608050403764,1
Tatacoa,410.75217375267687,2,14,50,30.78100704489229,11.944509951226983,1004.1957584789795,0.5382184337322946,3,57.20588770164126,0
Bogotá,2621.909765997788,9,44,77,23.17182798047498,12.494060884779916,980.2120591485009,0.9192772111827322,0,28.497512307390096,0
Cali,1053.6943590060062,8,64,80,11.11859293443059,14.786523743786118,983.257522921894,0.5403268672420553,2,26.155254583653477,0
Villa de Leyva,2222.7535102900424,4,88,43,21.442200738641493,11.869264387450253,993.0665695618709,0.7056035413643416,0,21.404807726596637,0
Villa de Leyva,2161.3937536295184,3,70,39,26.737564476821625,9.02076106032845,1019.7005786459345,0.3576770913057742,1,38.779255858671675,0
Cali,1016.7629342635995,7,8,56,25.003752739827135,5.0883044758767575,986.61567297049,0.7516307935672674,0,61.94512130650368,0
Guajira,22.63211778726,2,87,23,12.130141503086225,8.16893173066124,1011.9902448707244,0.6204687460514774,0,37.152410257169976,0
Medellín,1506.1017426510393,8,0,39,31.33807997696248,0.6160225918560813,1023.8014954768529,0.45979401327486125,2,58.32843056204261,0
Villa de Leyva,2193.315272001049,3,7,79,18.771527497918544,11.172376132948695,1015.575539871102,0.19376879489122578,3,63.3095174656366,1
Bogotá,2698.4543823029203,8,87,43,11.816600089766272,6.689333176381527,990.932541275917,0.30354090799729894,2,24.413094121226358,0
Villa de Leyva,2190.8846739546007,3,62,69,12.324698099075551,0.3003484459828143,1020.8764367185887,0.6209460873757551,3,34.18477918361536,0
Cali,1043.2992888491833,7,10,68,10.357639812537933,0.9376041226561621,984.1898220428776,0.42605632436457297,2,42.30969389655717,0
Cali,1030.305801101415,6,80,70,27.284434602438424,5.8119969573263495,1001.0663873841831,0.8893865567490519,3,20.641885031571004,0
Cali,986.5399590735884,8,7,55,10.928731863724368,8.751322785276527,1019.9393858476886,0.2348402715355853,4,44.978179415986816,0
Tatacoa,397.00835356509583,3,34,85,11.003006171401926,6.9630592342819,1008.8569569165592,0.07307265225327231,3,43.063334497249855,0
Medellín,1488.5236558758663,7,34,98,28.411318754260105,9.288064759382323,998.6140054127465,0.5893485765054844,3,29.755914316466562,0
Villa de Leyva,2146.2038789377825,3,32,53,16.270498026741432,7.2044138818703365,993.1765790031726,0.886050840190076,1,47.28696936826274,0
Bogotá,2618.417633615196,8,4,55,8.740589703393738,9.925557682220202,996.8794732393258,0.36473902943978864,2,43.749067674833874,0
Cali,1040.7358590530912,7,40,25,9.24548718844186,3.286890970062013,1002.9023801454179,0.6477113348681651,2,38.85877612065714,0
Villa de Leyva,2140.7840561977887,3,27,58,11.412090720893493,1.6926478077543212,994.3569768442763,0.23141262217714864,2,53.594041348742145,0
Medellín,1484.349087785695,7,6,61,13.121440351416549,8.9465093193849,1023.6035537937034,0.5584719216726883,2,54.09676468416841,0
Medellín,1473.519201273668,7,72,77,23.96350866172173,7.270342754044612,1021.9884943879765,0.7867921008626532,0,23.66570585176761,0
Guajira,56.968999648231105,2,71,31,11.775830720043878,0.40301481067402944,1019.1802160696444,0.8670315987766839,1,36.38853066336136,0
Cali,1062.9032357816739,7,11,22,10.852985388249728,5.707228282395538,998.9823425985194,0.10511912985239669,4,56.020735310904456,0
Cali,1017.6937511016839,7,33,37,26.3532593954307,1.5918837823649323,1011.1085796200853,0.35637451629324546,3,53.574503594803005,0
Bogotá,2648.4522164539885,9,32,59,24.105326812637948,7.9703524762904285,1020.6273188166184,0.6396444419358702,1,33.269610330841815,0
Villa de Leyva,2207.057816891202,2,47,40,18.44778131492567,5.936665194906461,1018.2693269455517,0.034722868093652215,1,56.50820560011144,0
Bogotá,2676.1032761775386,8,22,34,21.183434515522496,9.19727866654527,998.6447156309093,0.690615200150827,3,39.53681429463807,0
Bogotá,2657.632344526566,8,61,45,15.487616487834043,12.084033281553575,985.0573722195018,0.5280338828038271,2,21.099639261362586,0
Medellín,1511.370932987723,7,87,27,19.580010085648656,4.495030257622362,983.4033663725547,0.2885662792200264,2,23.184533265267643,0
Medellín,1476.9080227662125,7,36,61,20.1601435755859,14.431531562475413,1005.9678820351567,0.8146544505940505,0,38.033079172915855,0
Bogotá,2618.973916533522,8,98,63,17.293694508274303,8.034517508813616,1008.9182570844919,0.29005071229577517,1,6.734758404561465,0
Villa de Leyva,2153.242244590151,4,43,33,29.757733056131904,9.27436198132182,1018.2429172068661,0.9914150462038034,2,44.1350592371851,0
Villa de Leyva,2154.003223154749,2,85,97,8.385484759544148,10.210085598386055,993.1631759153464,0.8163701891133404,3,25.75653778076054,0
Medellín,1469.5070539290145,7,90,21,26.77211031418991,10.000972947863847,987.5361720747519,0.7079805013830877,0,17.903526553533425,0
Medellín,1516.0988999184233,7,34,56,10.985187949791783,7.664561145675931,997.055262493019,0.061347557962646015,2,46.192905548581415,0
Medellín,1486.6810633450864,7,64,88,27.141136652892786,6.4314643667202525,995.9108805634523,0.9043103719872735,3,28.76490416653911,0
Bogotá,2673.819622071386,8,98,57,22.78188597624131,0.8067294626606686,985.9611029308035,0.7900553057375509,3,18.98144868141916,0
Villa de Leyva,2147.3377446463196,3,100,60,28.23867418247366,0.3312876795176961,1010.2527193630918,0.22902507929180227,1,17.43274185025045,0
Cali,1013.682393098924,7,46,81,10.340343815381539,5.36941791799147,1002.8911373328219,0.392248181326889,3,28.110188395325924,0
Cali,989.8781065148206,7,77,79,21.415535218394577,5.004913359505389,1012.4505240251644,0.26863155161914287,5,19.412646664510937,0
Bogotá,2615.164207946441,8,2,33,20.02610912629273,5.815427322585101,995.8711004076381,0.9844160341810665,4,53.18388476409702,0
Medellín,1534.5329309523281,7,0,21,24.94863639112061,2.0755230133228504,994.6565995209966,0.8541964448055595,3,57.25176339566416,0
Bogotá,2648.0689124096693,8,4,89,20.822973245448217,11.072524058052654,1001.2659133869735,0.9302253026951025,3,49.11614191821645,0
Medellín,1506.6790714156791,8,89,36,20.9776296111945,12.854466221643584,1019.4833305427816,0.7887742363754299,1,21.977420307464737,0
Cali,1066.0194087064938,7,13,47,18.31030264582555,14.080719530610525,981.8126588030291,0.4563482410702475,3,45.84799245279415,0
Medellín,1455.4723413897327,7,26,85,15.41202617617618,7.385434552794388,1016.2174767783413,0.20543424981468505,3,34.121191243371946,0
Bogotá,2660.137671511242,8,8,54,19.57434467005261,10.51298548688143,996.6044425695991,0.2080801569097338,2,43.779227457455164,0
Bogotá,2592.3632740592057,8,78,24,10.843816610441614,12.833266851538086,1018.4578561604815,0.151682848366677,2,22.14130635881161,0
Medellín,1481.8704417383988,6,14,84,31.076320135594035,6.274366666402289,1016.0991353976135,0.546649550303397,3,50.503430689622846,0
Medellín,1460.647389258744,7,89,59,25.145858327038358,4.641191923056666,995.694256132824,0.9199665228636426,5,18.373577537153775,0
Medellín,1520.757716377966,7,41,95,30.859210800508322,14.050868337802353,1011.2244440894727,0.9917980700457663,1,35.598467987276756,0
Medellín,1438.3082094382112,7,76,75,13.441457175919119,7.735148266156097,987.1834740548048,0.2872998000367648,1,12.4983889419392,0
Tatacoa,393.0974646594161,2,50,55,29.104184484236672,7.45880829886317,1020.3326698473704,0.6973145402967293,3,45.00201619770116,0
Guajira,15.236894204048681,1,62,64,27.410959629524925,2.6762414484524366,998.202097900336,0.5970980156103778,1,40.61238766701942,0
Cali,992.3557488218796,7,95,42,24.251657898984167,1.6223252186003512,1000.503152690984,0.4889361168763111,2,23.99897261529417,0
Bogotá,2618.9786650743727,8,51,66,23.00070046604494,12.631602937252675,1011.7591572966643,0.6657686438120414,0,28.02887771185761,0
Medellín,1534.573136124959,7,95,50,15.59719196642888,9.21199764281277,1016.9378106517183,0.37136301898006896,2,14.755352664587086,0
Tatacoa,389.94311649905404,2,3,30,27.59385883916074,4.88736876029173,990.6354234497694,0.9444847750934495,3,73.34575176771916,1
Tatacoa,451.8197708804471,3,93,29,20.03637107551361,2.876043260853997,1009.7607562944648,0.705448867706337,0,27.187366983519873,0
Villa de Leyva,2207.097589805396,3,100,86,9.701397821390849,8.33245920254447,997.6399119750117,0.7542010919924448,1,18.190751132144616,0
Medellín,1558.4105160587067,7,22,33,15.50871586052312,8.75878933891703,996.5916315801783,0.24242209500607392,2,51.48733059131086,0
Cali,1016.2369923714357,7,14,99,30.44713036508786,3.1049040186758727,1011.0511620773294,0.16858200349761943,2,33.99708714034808,0
Medellín,1501.3107141811408,7,42,93,28.41632625451631,12.771086218372108,997.4232473370171,0.394340793094323,3,32.164436393680205,0
Bogotá,2651.338669285883,8,28,29,31.56573675383694,1.2639654923377663,995.5748825073983,0.766672485336154,2,38.658082439658074,0
Bogotá,2628.975365143177,8,35,95,23.071841182498353,5.341396277496325,1017.6149783656809,0.9387959097528575,2,31.479984447227157,0
Villa de Leyva,2161.7311077652585,3,12,20,13.940241755369886,10.205766206437833,984.5574255723952,0.4273298259740078,2,61.50676351669499,1
Tatacoa,371.9441137859006,3,31,24,11.907561192244732,4.1118054572880105,1010.4151680273595,0.774156792497166,0,50.93090178649384,0
Cali,961.7357271160706,6,70,39,12.48594657460308,12.415127921719078,991.1926427205781,0.47040761946680953,3,33.69833056434868,0
Guajira,71.4240379826484,1,58,27,8.475095800334106,11.098017399006054,980.6974208821786,0.2952282495554638,0,47.31794974870171,0
Bogotá,2629.506800858505,8,85,62,17.37637066366254,11.835342668222014,987.5043920992712,0.7392651507258476,3,11.963092207041448,0
Medellín,1465.6992448588342,7,27,95,12.59426433198902,1.786598038150744,1007.299768839914,0.7982021339813272,2,31.46704448784743,0
Guajira,24.49321091992267,1,65,20,17.879731050960856,2.108206919933144,1011.9107236168671,0.20284079408068023,2,49.60465650303717,0
Tatacoa,445.45365462296195,2,41,76,30.43986636413037,4.297106066168754,980.9476002600344,0.30516950204533067,3,44.50183755744502,0
Cali,1031.923383727663,7,44,83,18.33296502817256,7.771157477963416,981.6391449485774,0.49477684347366224,4,25.331304947393235,0
Medellín,1449.3307845260895,7,61,47,29.071627927636037,11.220241150491036,1020.6143951679329,0.1865218297668767,4,29.570848961560912,0
Medellín,1459.3904076223644,7,56,56,22.532114398781037,12.547963361413553,983.2987618151174,0.9288342987537925,2,30.20596737499685,0
Villa de Leyva,2140.2436118254896,2,5,66,13.931157311873406,10.565029739357707,1020.2381971377457,0.5913339125607484,1,54.356804226130194,0
Medellín,1509.292280750261,7,27,95,16.540514222221073,13.928953222959576,990.2674661187907,0.12120327737169267,4,34.98668131976144,0
Cali,994.1628586488146,6,27,56,10.014068859714307,11.081152644238955,1013.3008010071196,0.18402986468246207,0,49.9446155887515,0
Tatacoa,394.81159975464016,2,43,68,16.003102246304252,4.594018305069221,993.9379962025705,0.9543553453248445,3,56.548212150529565,0
Bogotá,2643.436535646905,7,83,63,24.260982692084816,3.976219265078589,1018.6438411524133,0.7381685856966183,3,21.437203933003786,0
Tatacoa,404.05805227308025,2,29,75,9.730666230306444,10.442886754516348,1011.5204689440961,0.7344050845049861,4,42.30872232250621,0
Cali,946.1459134300223,6,61,47,12.929633803472704,2.8930585303442142,998.0816056370763,0.07249859400505454,4,32.568342003973136,0
Bogotá,2646.649241154092,8,74,98,17.154584993919475,1.3907221621540482,983.4336104378336,0.895298837708947,0,16.349417748000075,0
Cali,966.0142107117895,7,91,25,31.569188888383103,7.983343122842909,1012.9715082741864,0.4437353625586046,3,26.238119946317884,0
Bogotá,2631.4080455549715,7,88,80,26.836683751013126,12.324623546684329,1007.7598140184332,0.6597173226399262,1,19.33752072688685,0
Tatacoa,384.95754859274507,2,61,39,25.603681915810494,1.520697637047953,980.1310273025205,0.959689219114014,0,47.76004930590209,0
Tatacoa,367.6380130239944,2,96,97,10.788582956610703,11.878369856935938,980.42389351876,0.10001238035655691,2,19.71477344890058,0
Villa de Leyva,2174.2950161200365,3,0,21,26.743901446759793,12.173580065273221,1016.3956837936712,0.4822764594865787,0,67.43974282532785,1
Villa de Leyva,2115.280724203097,2,26,92,26.846451476384363,7.2341100012231525,991.6729882460834,0.04961273666193178,3,39.790989761784104,0
Medellín,1479.311893318376,7,61,56,22.426464694983878,0.8596546501573021,1008.626015047763,0.49954542332371543,5,24.879890059851217,0
Tatacoa,426.3620251900957,1,76,39,31.768682767960925,2.618847768707796,1000.4396488894362,0.25225941048757106,2,31.402472653152344,0
Bogotá,2623.45498782031,7,2,45,15.806093742189248,10.611394127428985,1018.8543506534795,0.9110655292738706,1,50.35467894941475,0
Bogotá,2617.2447002794374,8,69,48,30.59053875780444,10.676669174864243,1021.263250089612,0.39849249427308686,3,20.515316750061782,0
Medellín,1486.9553366784212,7,71,20,29.953546758956087,13.47532912751498,1024.8563470705485,0.6338724460520792,4,25.623880565087326,0
Medellín,1511.215075617133,7,26,54,8.275535833985067,8.740292198318743,986.9157861113262,0.860287264814549,3,48.95969862979379,0
Medellín,1538.3892281438261,6,8,89,18.802796635395467,1.861610515706661,1018.8333820913964,0.9836918584171765,3,37.66929433560234,0
Guajira,21.916352061865265,2,61,78,31.45050159323776,1.8212235825745822,991.9709619527961,0.503819370328546,4,35.05981928758176,0
Tatacoa,374.3475410360173,2,36,88,10.474912697793819,10.816985360352355,1006.5867143702978,0.4557577028614559,1,48.761932251725526,0
Bogotá,2631.709937852204,8,96,52,21.146832665199668,2.756769976618517,1002.7597775241145,0.07573964529645871,4,13.95616273302171,0
Bogotá,2646.9042195380152,8,50,70,31.494980168986498,4.925782494249081,980.8094659207575,0.012738943337215036,4,37.89873513110178,0
Bogotá,2616.8926000800793,9,43,97,21.331890178540643,7.308180103828708,1021.9747075957742,0.6088020924984962,4,24.111237548030427,0
